,Unnamed: 0,categories,text,text_full,main_category,label_mid,label_high
22,24,114 Rzeczowe,"['czy biorąc pod uwagę przedstawiony stan faktyczny, zabudowa istniejącego ogrodzenia innym ogrodzeniem wymaga zgody wspólnoty mieszkaniowej?', 'w przypadku odpowiedzi twierdzącej, w jakiej formie powinna zostać wyrażona w/w zgoda? czy wyrażenie wspomnianej zgody wymaga podjęcia uchwały przez właścicieli lokali?']",czy biorąc pod uwagę przedstawiony stan faktyczny zabudowa istniejącego ogrodzenia innym ogrodzeniem wymaga zgody wspólnoty mieszkaniowej w przypadku odpowiedzi twierdzącej w jakiej formie powinna zostać wyrażona ww zgoda czy wyrażenie wspomnianej zgody wymaga podjęcia uchwały przez właścicieli lokali,rzeczowe,rzeczowe,prawo cywilne
23,25,114 Rzeczowe,"['czy osoba sprzedająca mieszkanie we wspólnocie mieszkaniowej jest zobowiązana do poinformowania potencjalnego nabywcy mieszkania o zadłużeniu wspólnoty?', 'czy zarządca budynku wystawiając sprzedającemu zaświadczenie o niezaleganiu z zaliczkami wobec wspólnoty powinien w takim zaświadczeniu napisać, że wspólnota posiada długi?', 'czy nowy właściciel mieszkania w takiej wspólnocie mieszkaniowej jest zobowiązany do ponoszenia wszelkich kosztów, które powstały w momencie, kiedy nie był jeszcze członkiem wspólnoty?']",czy osoba sprzedająca mieszkanie we wspólnocie mieszkaniowej jest zobowiązana do poinformowania potencjalnego nabywcy mieszkania o zadłużeniu wspólnoty czy zarządca budynku wystawiając sprzedającemu zaświadczenie o niezaleganiu z zaliczkami wobec wspólnoty powinien w takim zaświadczeniu napisać że wspólnota posiada długi czy nowy właściciel mieszkania w takiej wspólnocie mieszkaniowej jest zobowiązany do ponoszenia wszelkich kosztów które powstały w momencie kiedy nie był jeszcze członkiem wspólnoty,rzeczowe,rzeczowe,prawo cywilne
24,27,15 Prawo ochrony danych osobowych,"['czy zgodnie z przepisami rodo administrator może udostępnić członkowi zarządu wyciągi z kont bankowych wspólnoty, na których figurują numery kont bankowych, imię i nazwisko oraz adresy zamieszkania poszczególnych członków wspólnoty mieszkaniowej?']",czy zgodnie z przepisami rodo administrator może udostępnić członkowi zarządu wyciągi z kont bankowych wspólnoty na których figurują numery kont bankowych imię i nazwisko oraz adresy zamieszkania poszczególnych członków wspólnoty mieszkaniowej,prawo ochrony danych osobowych,prawo administracyjne materialne,prawo administracyjne
25,28,15 Prawo ochrony danych osobowych,"['czy firma z którą skontaktował się zleceniodawca jest wiarygodna?', 'co może zrobić zleceniodawca aby chronić swoje dane osobowe, które przekazał w wiadomości?']",czy firma z którą skontaktował się zleceniodawca jest wiarygodna co może zrobić zleceniodawca aby chronić swoje dane osobowe które przekazał w wiadomości,prawo ochrony danych osobowych,prawo administracyjne materialne,prawo administracyjne
26,29,114 Rzeczowe,"['czy w związku z koniecznością dokonania podziału geodezyjnego uchwała w tym zakresie musi być podjęta przez 100% właścicieli, zgodnie z ustawą o gospodarce nieruchomościami, czy wystarczy większość głosów?', 'czy oprócz notarialnej zmiany wysokości udziałów należy jeszcze przedsięwziąć jakieś kroki?']",czy w związku z koniecznością dokonania podziału geodezyjnego uchwała w tym zakresie musi być podjęta przez  właścicieli zgodnie z ustawą o gospodarce nieruchomościami czy wystarczy większość głosów czy oprócz notarialnej zmiany wysokości udziałów należy jeszcze przedsięwziąć jakieś kroki,rzeczowe,rzeczowe,prawo cywilne
27,30,114 Rzeczowe,"['czy właściciel lokalu użytkowego (magazynu), w którym nie znajduje się grzejnik, zobowiązany jest do partycypacji w kosztach ogrzewania nieruchomości wspólnej?']",czy właściciel lokalu użytkowego magazynu w którym nie znajduje się grzejnik zobowiązany jest do partycypacji w kosztach ogrzewania nieruchomości wspólnej,rzeczowe,rzeczowe,prawo cywilne
28,31,114 Rzeczowe,['czy wspólnota ma obowiązek wymienić grzejnik w przedmiotowym lokalu?'],czy wspólnota ma obowiązek wymienić grzejnik w przedmiotowym lokalu,rzeczowe,rzeczowe,prawo cywilne
29,32,112 Prawo cywilne procesowe,"['czy roszczenie z tytułu poniesionych nakładów na nieruchomość w latach 1985-1995 uległo przedawnieniu?', 'czy dokonując wyceny nieruchomości, rzeczoznawca będzie brał pod uwagę: poniesione wydatki na remont; grunty rolne, na których rosną drzewa samosiejki; zburzoną oborę o powierzchni 106 m2? w jaki sposób będzie dokonana wycena nieruchomości?']",czy roszczenie z tytułu poniesionych nakładów na nieruchomość w latach  uległo przedawnieniu czy dokonując wyceny nieruchomości rzeczoznawca będzie brał pod uwagę poniesione wydatki na remont grunty rolne na których rosną drzewa samosiejki zburzoną oborę o powierzchni  m w jaki sposób będzie dokonana wycena nieruchomości,prawo cywilne procesowe,prawo cywilne procesowe,prawo cywilne
30,33,112 Prawo cywilne procesowe,"['czy roszczenia o zwrot nakładów za wykonane prace remontowo-budowlane wykonane w okresie 2012-2015 przedawniają się z okresem 6 czy 3 lat?', 'co to jest przedawnienie okresowe 3-letnie i kiedy się stosuje?', 'czy prace remontowo-budowlane wykonane w okresie 1985-1995 przedawnione przez okres 10 lat wpływają na wartość nieruchomości na dzień dzisiejszy, gdy będzie ona szacowana przez rzeczoznawcę majątkowego?', 'jeśli brat ojca nie posiada rachunków z wykonanych prac remontowo-budowlanych w okresie 2012-2015 to na jakiej zasadzie rzeczoznawca majątkowy  będzie szacował ich wartość oraz koszty robocizny związane z wykonaniem owych prac remontowo-budowlanych?', 'jeśli brat ojca nie posiada rachunków z wykonanych prac remontowo-budowlanych w latach 1985-1995 to na jakiej podstawie będzie szacowana ich wartość?', 'jak rzeczoznawca majątkowy oszacuje wartość stodoły i obory która została rozebrana pod koniec lat 80 przez brata ojca? jak rzeczoznawca oszacuje wartość ciągnika ursus, wozu konnego, konia i maszyn rolniczych które zostały po śmierci rodziców, a brat ojca michał sprzedał wszystko pod koniec lat 80?']",czy roszczenia o zwrot nakładów za wykonane prace remontowobudowlane wykonane w okresie  przedawniają się z okresem  czy  lat co to jest przedawnienie okresowe letnie i kiedy się stosuje czy prace remontowobudowlane wykonane w okresie  przedawnione przez okres  lat wpływają na wartość nieruchomości na dzień dzisiejszy gdy będzie ona szacowana przez rzeczoznawcę majątkowego jeśli brat ojca nie posiada rachunków z wykonanych prac remontowobudowlanych w okresie  to na jakiej zasadzie rzeczoznawca majątkowy będzie szacował ich wartość oraz koszty robocizny związane z wykonaniem owych prac remontowobudowlanych jeśli brat ojca nie posiada rachunków z wykonanych prac remontowobudowlanych w latach  to na jakiej podstawie będzie szacowana ich wartość jak rzeczoznawca majątkowy oszacuje wartość stodoły i obory która została rozebrana pod koniec lat  przez brata ojca jak rzeczoznawca oszacuje wartość ciągnika ursus wozu konnego konia i maszyn rolniczych które zostały po śmierci rodziców a brat ojca michał sprzedał wszystko pod koniec lat,prawo cywilne procesowe,prawo cywilne procesowe,prawo cywilne
31,35,"20 Prawo budowlane, 69 Prawo karne procesowe, 74 Ustawa Kodeks karny, 112 Prawo cywilne procesowe, 114 Rzeczowe","['czy na roboty budowlane brat ojca musiał mieć pozwolenie od ojca (współwłaściciela)?', 'czy na wykonane roboty budowlane w latach 2012-2015 brat ojca musiał mieć pozwolenie od inspektora nadzoru budowlanego oraz od architektury, na podstawie obowiązującego w tamtym okresie prawa budowlanego (art. 29)?', 'w którym roku nastąpiła nowelizacja prawa budowlanego (art. 29)?', 'jaki jest okres przedawnienia dotyczący ww. robót budowlanych?', 'jakie konsekwencje prawne czekają brata ojca jeśli wymagana była zgoda ojca na wykonane roboty budowlane w latach 2012-2015, a on takiej zgody nie uzyskał?']",czy na roboty budowlane brat ojca musiał mieć pozwolenie od ojca współwłaściciela czy na wykonane roboty budowlane w latach  brat ojca musiał mieć pozwolenie od inspektora nadzoru budowlanego oraz od architektury na podstawie obowiązującego w tamtym okresie prawa budowlanego art  w którym roku nastąpiła nowelizacja prawa budowlanego art  jaki jest okres przedawnienia dotyczący ww robót budowlanych jakie konsekwencje prawne czekają brata ojca jeśli wymagana była zgoda ojca na wykonane roboty budowlane w latach  a on takiej zgody nie uzyskał,prawo budowlane,prawo administracyjne materialne,prawo administracyjne
32,36,"39 Prawo finansowe, 193 Prawo Unii Europejskiej","['czy istnieje kredyt dla osób otwierających nowy salon kosmetyczny, który jest częściowo pomniejszany, gdy salon prosperuje dalej?', 'czy istnieje pomoc unijna na otwarcie salonu kosmetycznego?']",czy istnieje kredyt dla osób otwierających nowy salon kosmetyczny który jest częściowo pomniejszany gdy salon prosperuje dalej czy istnieje pomoc unijna na otwarcie salonu kosmetycznego,prawo finansowe,prawo administracyjne materialne,prawo administracyjne
33,38,"112 Prawo cywilne procesowe, 114 Rzeczowe","['czy ojciec klienta jako współwłaściciel nieruchomości może wystąpić do sądu z wnioskiem o założenie księgi wieczystej?', 'jeżeli odpowiedź na pytanie pierwsze jest pozytywna, to czy księga wieczysta będzie dotyczyć jedynie 1/3 części, czy całej nieruchomości?', 'jakie korzyści przyniesie założenie księgi wieczystej?', 'czy w chwili obecnej możliwe jest założenie księgi wieczystej, gdy żadna z działek nie jest przydzielona danej osobie?']",czy ojciec klienta jako współwłaściciel nieruchomości może wystąpić do sądu z wnioskiem o założenie księgi wieczystej jeżeli odpowiedź na pytanie pierwsze jest pozytywna to czy księga wieczysta będzie dotyczyć jedynie  części czy całej nieruchomości jakie korzyści przyniesie założenie księgi wieczystej czy w chwili obecnej możliwe jest założenie księgi wieczystej gdy żadna z działek nie jest przydzielona danej osobie,prawo cywilne procesowe,prawo cywilne procesowe,prawo cywilne
34,39,112 Prawo cywilne procesowe,['jak przedstawia się kwestia zwrotu utraconego dochodu lub zarobku?'],jak przedstawia się kwestia zwrotu utraconego dochodu lub zarobku,prawo cywilne procesowe,prawo cywilne procesowe,prawo cywilne
35,42,"59 Ustawa Prawo farmaceutyczne, 197 Inne - praw farmaceutyczne",['czy zabroniona jest realizacja recepty na leki psychotropowe z grupy iv-p z datą realizacji różną od daty wystawienia?'],czy zabroniona jest realizacja recepty na leki psychotropowe z grupy ivp z datą realizacji różną od daty wystawienia,ustawa prawo farmaceutyczne,ustawa prawo farmaceutyczne,prawo farmaceutyczne
36,44,"91 Ustawa Kodeks pracy, 109 Inne - praw pracy",['czy klientowi należy się dodatek do wynagrodzenia w związku z podejrzeniem wystąpienia choroby zawodowej?'],czy klientowi należy się dodatek do wynagrodzenia w związku z podejrzeniem wystąpienia choroby zawodowej,ustawa kodeks pracy,ustawa kodeks pracy,prawo pracy
37,45,79 Ustawa o zawodach lekarza i lekarza dentysty,['czy lekarz stażysta z dziedziny psychiatrii jest uprawniony do wychodzenia z pacjentami na spacery poza teren szpitala?'],czy lekarz stażysta z dziedziny psychiatrii jest uprawniony do wychodzenia z pacjentami na spacery poza teren szpitala,ustawa o zawodach lekarza i lekarza dentysty,ustawa o zawodach lekarza i lekarza dentysty,prawo medyczne
38,46,20 Prawo budowlane,"['czy w nieruchomości przeznaczonej na cele mieszkaniowe można rozpocząć prowadzenie działalności gospodarczej?', 'czy w takim przypadku wskazaną nieruchomość należałoby podzielić na dwie części – część przeznaczoną do celów mieszkaniowych oraz część przeznaczoną do wykonywania w niej działalności gospodarczej?', 'czy klient będzie mógł rozpocząć prace adaptacyjne części piwnicznej domu jedynie w przypadku, gdy będzie jego jedynym właścicielem?']",czy w nieruchomości przeznaczonej na cele mieszkaniowe można rozpocząć prowadzenie działalności gospodarczej czy w takim przypadku wskazaną nieruchomość należałoby podzielić na dwie części  część przeznaczoną do celów mieszkaniowych oraz część przeznaczoną do wykonywania w niej działalności gospodarczej czy klient będzie mógł rozpocząć prace adaptacyjne części piwnicznej domu jedynie w przypadku gdy będzie jego jedynym właścicielem,prawo budowlane,prawo administracyjne materialne,prawo administracyjne
39,47,109 Inne - praw pracy,"['czy przewodniczący zarządu regionu ogólnopolskiego związku zawodowego lekarzy może upoważnić do uczestniczenia w posiedzeniu zarządu krajowego członka zarządu regionu, który to członek jednocześnie pełni funkcję w krajowej komisji rewizyjnej?']",czy przewodniczący zarządu regionu ogólnopolskiego związku zawodowego lekarzy może upoważnić do uczestniczenia w posiedzeniu zarządu krajowego członka zarządu regionu który to członek jednocześnie pełni funkcję w krajowej komisji rewizyjnej,inne  praw pracy,inne  praw pracy,prawo pracy
40,48,"112 Prawo cywilne procesowe, 116 Spadkowe",['w jaki sposób klient może uniknąć dziedziczenia długów zmarłego dziadka?'],w jaki sposób klient może uniknąć dziedziczenia długów zmarłego dziadka,prawo cywilne procesowe,prawo cywilne procesowe,prawo cywilne
41,51,91 Ustawa Kodeks pracy,"['czy lekarz może zostać zatrudniony w szpitalu na podstawie umowy o pracę na okres próbny, jeżeli była wcześniej w tym miejscu zatrudniona jako rezydent (do końca 2018 roku)?']",czy lekarz może zostać zatrudniony w szpitalu na podstawie umowy o pracę na okres próbny jeżeli była wcześniej w tym miejscu zatrudniona jako rezydent do końca  roku,ustawa kodeks pracy,ustawa kodeks pracy,prawo pracy
42,52,"91 Ustawa Kodeks pracy, 109 Inne - praw pracy","['w jaki sposób klientka może wyegzekwować zaległe wynagrodzenie od pracodawcy?', 'czy klientka może rozwiązać umowę o pracę bez okresu wypowiedzenia z winy pracodawcy, w związku z brakiem zapłaty zaległego wynagrodzenia?']",w jaki sposób klientka może wyegzekwować zaległe wynagrodzenie od pracodawcy czy klientka może rozwiązać umowę o pracę bez okresu wypowiedzenia z winy pracodawcy w związku z brakiem zapłaty zaległego wynagrodzenia,ustawa kodeks pracy,ustawa kodeks pracy,prawo pracy
43,55,"114 Rzeczowe, 117 Rodzinne i opiekuńcze","['czy spółdzielnia mieszkaniowa powinna wysyłać korespondencję również na adres mieszkania zajmowanego przez męża pani, której przysługuje spółdzielcze własnościowe prawo do tego lokalu mieszkalnego?', 'jeżeli odpowiedź na pierwsze pytanie jest przecząca, to skąd osoby pełnoletnie  zamieszkujące w lokalu (ale niebędące właścicielami) mają wiedzieć w jakiej wysokości wnosić opłaty do spółdzielni?']",czy spółdzielnia mieszkaniowa powinna wysyłać korespondencję również na adres mieszkania zajmowanego przez męża pani której przysługuje spółdzielcze własnościowe prawo do tego lokalu mieszkalnego jeżeli odpowiedź na pierwsze pytanie jest przecząca to skąd osoby pełnoletnie zamieszkujące w lokalu ale niebędące właścicielami mają wiedzieć w jakiej wysokości wnosić opłaty do spółdzielni,rzeczowe,rzeczowe,prawo cywilne
44,60,114 Rzeczowe,['czy wspólnota mieszkaniowa może być położona na dwóch odrębnych gruntach?'],czy wspólnota mieszkaniowa może być położona na dwóch odrębnych gruntach,rzeczowe,rzeczowe,prawo cywilne
45,66,"20 Prawo budowlane, 114 Rzeczowe",['czy wentylacja jest częścią wspólną nieruchomości?'],czy wentylacja jest częścią wspólną nieruchomości,prawo budowlane,prawo administracyjne materialne,prawo administracyjne
46,71,"112 Prawo cywilne procesowe, 116 Spadkowe","['co należy zrobić, aby móc sprzedać garaż wchodzący w skład spadku?']",co należy zrobić aby móc sprzedać garaż wchodzący w skład spadku,prawo cywilne procesowe,prawo cywilne procesowe,prawo cywilne
47,72,116 Spadkowe,"['czy brat będzie mógł wysuwać jakiekolwiek roszczenia w stosunku do nieruchomości, którą córka otrzymała od rodziców w drodze darowizny?']",czy brat będzie mógł wysuwać jakiekolwiek roszczenia w stosunku do nieruchomości którą córka otrzymała od rodziców w drodze darowizny,spadkowe,spadkowe,prawo cywilne
48,74,116 Spadkowe,['jak wygląda instytucja zachowku?'],jak wygląda instytucja zachowku,spadkowe,spadkowe,prawo cywilne
49,77,"79 Ustawa o zawodach lekarza i lekarza dentysty, 81 Ustawa o zawodach pielęgniarki i położnej, 179 Ustawa o izbach aptekarskich",['czy farmaceuta może pracować na oddziale w szpitalu?'],czy farmaceuta może pracować na oddziale w szpitalu,ustawa o zawodach lekarza i lekarza dentysty,ustawa o zawodach lekarza i lekarza dentysty,prawo medyczne
50,78,91 Ustawa Kodeks pracy,['czy pracodawca może ukarać pracownika dwukrotnie za to samo przewinienie?'],czy pracodawca może ukarać pracownika dwukrotnie za to samo przewinienie,ustawa kodeks pracy,ustawa kodeks pracy,prawo pracy
51,79,116 Spadkowe,['w jaki sposób należy sporządzić testament?'],w jaki sposób należy sporządzić testament,spadkowe,spadkowe,prawo cywilne
52,80,"79 Ustawa o zawodach lekarza i lekarza dentysty, 181 Kodeks Etyki Lekarskiej ","['w jakich sytuacjach lekarz ma prawo odmowy przyjęcia pacjenta?', 'czy lekarz ma prawo odmówić wystawienia zwolnienia lekarskiego?']",w jakich sytuacjach lekarz ma prawo odmowy przyjęcia pacjenta czy lekarz ma prawo odmówić wystawienia zwolnienia lekarskiego,ustawa o zawodach lekarza i lekarza dentysty,ustawa o zawodach lekarza i lekarza dentysty,prawo medyczne
53,81,59 Ustawa Prawo farmaceutyczne,['czy można być kierownikiem działu farmacji i kierownikiem apteki w dwóch różnych miejscach?'],czy można być kierownikiem działu farmacji i kierownikiem apteki w dwóch różnych miejscach,ustawa prawo farmaceutyczne,ustawa prawo farmaceutyczne,prawo farmaceutyczne
54,85,59 Ustawa Prawo farmaceutyczne,"['czy dopuszczalne jest, aby pacjent zrealizował drugą część recepty (na 180 dni) kilka dni po tym, jak zrealizował już pierwszą jej część (na 180 dni)?']",czy dopuszczalne jest aby pacjent zrealizował drugą część recepty na  dni kilka dni po tym jak zrealizował już pierwszą jej część na  dni,ustawa prawo farmaceutyczne,ustawa prawo farmaceutyczne,prawo farmaceutyczne
