,Tekst,Wektor słów,Kategorie prawne,Liczba kategorii prawnych
4,czy klientka wychowująca niepełnoletnie dzieci może zostać skierowana do pracy w szpitalu zakaźnym w związku z obecnym stanem epidemii,"['zakaźnym', 'obecnym']","['prawo cywilne', 'prawo pracy']",2
5,czy czynności zakupu programu internetowego służącego do prowadzenia księgowości wspólnoty zawarcia umowy o świadczenie usług z księgową lub wykupienie domeny internetowej stanowią czynności zwykłego zarządu,"['świadczenie', 'zwykłego']","['prawo pracy', 'prawo medyczne']",2
6,czy pracodawca jest obowiązany dostarczyć klientowi dodatkowo torbę do noszenia tableta w przypadku gdy klient pracuje na zewnątrz i często się przemieszcza jako maszynista,"['dostarczyć', 'zewnątrz', 'przemieszcza']","['prawo cywilne', 'prawo pracy']",2
7,czy prowadząca przychodnię może odjąć od wynagrodzenia klientki wysokość świadczenia postojowego oraz wynagrodzenia wypłaconego w czasie nieświadczenia usług na podstawie umowy,"['prowadząca', 'wypłaconego']","['prawo pracy', 'prawo medyczne']",2
8,czy żołnierz rezerwy może uniknąć powołania na ćwiczenia wojskowe,"['żołnierz', 'ćwiczenia']","['prawo cywilne', 'prawo administracyjne']",2
9,czy klient może udostępnić ubezpieczycielowi szpitala swoją polisę jak kształtuje się kwestia odpowiedzialności w przedmiotowej sprawie,"['polisę', 'odpowiedzialności']","['prawo medyczne', 'prawo karne']",2
10,czy bezobjawowy pacjent z dodatnim wynikiem na covid podlega obowiązkowi hospitalizacji kto nakłada obowiązek izolacji w przypadku takiego pacjenta,"['bezobjawowy', 'wynikiem']","['prawo administracyjne', 'prawo medyczne']",2
12,czy składanie skarg do wspólnoty mieszkaniowej można uznać za nękanie klientki jakie kroki prawne powinna podjąć klientka,"['skarg', 'prawne']","['prawo farmaceutyczne', 'prawo karne']",2
23,czy pracodawca w zakładzie pracy może udzielać dnia wolnego bezpośrednio po pracy w danym dniu bez wymaganego dobowego odpoczynku,"['wolnego', 'danym']","['prawo pracy', 'prawo medyczne']",2
13,co będzie w przypadku jeśli wspólnota mieszkaniowa odmówi usługodawcy udostępnienia nieruchomości,"['odmówi', 'udostępnienia']","['prawo pracy', 'prawo medyczne']",2
15,czy wojewoda może skierować klienta do pracy przy zwalczaniu skutków epidemii jeżeli wychowuje dziecko z orzeczoną niepełnosprawnością jaki jest tryb odwołania od decyzji wojewody,"['wychowuje', 'niepełnosprawnością']","['prawo farmaceutyczne', 'prawo medyczne']",2
16,czy pacjentka może domagać się wypłaty odszkodowania od ubezpieczyciela każdego lekarza uczestniczącego w udzielaniu jej świadczeń zdrowotnych,"['wypłaty', 'ubezpieczyciela']","['prawo medyczne', 'prawo karne']",2
17,czy na erecepcie z efferalgan codeine musi być podana łączna dawka substancji czynnej,"['być', 'substancji']","['prawo farmaceutyczne', 'prawo medyczne']",2
18,czy jeden z dwóch wspólników i członków zarządu sp z oo nzoz zatrudniającej lekarzy a który nie jest lekarzem ma prawo swobodnego wglądu do dokumentacji medycznej pacjentów spółki,"['swobodnego', 'wglądu']","['prawo administracyjne', 'prawo pracy']",2
19,czy klientka ma obowiązek informowania pracodawcy o wiążących ją z innymi placówkami umowach cywilnoprawnych zlecenia,"['placówkami', 'umowach']","['prawo farmaceutyczne', 'prawo pracy']",2
20,co powinien w tej sytuacji zrobić klient czy i do kiedy należy się gdzieś zgłosić celem poinformowania o powrocie z zagranicy czy przy zgłoszeniu się na kwarantannę istnieje jakaś kara za opóźnienie takiego zgłoszenia i czy klient może ukryć datę rzeczywistego powrotu do kraju,"['poinformowania', 'zgłoszeniu', 'kwarantannę', 'rzeczywistego']","['prawo farmaceutyczne', 'prawo medyczne']",2
21,czy ordynator może przenieść klientkę  lekarza  rezydentkę  na oddział zakaźny w okresie karmienia piersią,"['rezydentkę', 'oddział']","['prawo medyczne', 'prawo karne']",2
22,jak powinien zachować się klient w związku z wezwaniem czy odpowiedź na zarzuty córki zmarłego została sporządzona poprawnie,"['wezwaniem', 'sporządzona']","['prawo cywilne', 'prawo karne']",2
49,czy w przypadku rozwodu klientce przysługują roszczenia związane z budynkiem mieszkalnym,"['rozwodu', 'budynkiem']","['prawo cywilne', 'prawo podatkowe']",2
