text_full;label_high;;;;;
czy na roboty budowlane brat ojca musiał mieć pozwolenie od ojca współwłaściciela czy na wykonane roboty budowlane w latach  brat ojca musiał mieć pozwolenie od inspektora nadzoru budowlanego oraz od architektury na podstawie obowiązującego w tamtym okresie prawa budowlanego art  w którym roku nastąpiła nowelizacja prawa budowlanego art  jaki jest okres przedawnienia dotyczący ww robót budowlanych jakie konsekwencje prawne czekają brata ojca jeśli wymagana była zgoda ojca na wykonane roboty budowlane w latach  a on takiej zgody nie uzyskał;prawo administracyjne;;;;;
czy istnieje kredyt dla osób otwierających nowy salon kosmetyczny który jest częściowo pomniejszany gdy salon prosperuje dalej czy istnieje pomoc unijna na otwarcie salonu kosmetycznego;prawo administracyjne;;;;;
czy ojciec klienta jako współwłaściciel nieruchomości może wystąpić do sądu z wnioskiem o założenie księgi wieczystej jeżeli odpowiedź na pytanie pierwsze jest pozytywna to czy księga wieczysta będzie dotyczyć jedynie  części czy całej nieruchomości jakie korzyści przyniesie założenie księgi wieczystej czy w chwili obecnej możliwe jest założenie księgi wieczystej gdy żadna z działek nie jest przydzielona danej osobie;prawo cywilne;;;;;
jak przedstawia się kwestia zwrotu utraconego dochodu lub zarobku;prawo cywilne;;;;;
czy zabroniona jest realizacja recepty na leki psychotropowe z grupy ivp z datą realizacji różną od daty wystawienia;prawo farmaceutyczne;;;;;
czy klientowi należy się dodatek do wynagrodzenia w związku z podejrzeniem wystąpienia choroby zawodowej;prawo pracy;;;;;
czy lekarz stażysta z dziedziny psychiatrii jest uprawniony do wychodzenia z pacjentami na spacery poza teren szpitala;prawo medyczne;;;;;
czy w nieruchomości przeznaczonej na cele mieszkaniowe można rozpocząć prowadzenie działalności gospodarczej czy w takim przypadku wskazaną nieruchomość należałoby podzielić na dwie części  część przeznaczoną do celów mieszkaniowych oraz część przeznaczoną do wykonywania w niej działalności gospodarczej czy klient będzie mógł rozpocząć prace adaptacyjne części piwnicznej domu jedynie w przypadku gdy będzie jego jedynym właścicielem;prawo administracyjne;;;;;
czy przewodniczący zarządu regionu ogólnopolskiego związku zawodowego lekarzy może upoważnić do uczestniczenia w posiedzeniu zarządu krajowego członka zarządu regionu który to członek jednocześnie pełni funkcję w krajowej komisji rewizyjnej;prawo pracy;;;;;
w jaki sposób klient może uniknąć dziedziczenia długów zmarłego dziadka;prawo cywilne;;;;;
czy lekarz może zostać zatrudniony w szpitalu na podstawie umowy o pracę na okres próbny jeżeli była wcześniej w tym miejscu zatrudniona jako rezydent do końca  roku;prawo pracy;;;;;
w jaki sposób klientka może wyegzekwować zaległe wynagrodzenie od pracodawcy czy klientka może rozwiązać umowę o pracę bez okresu wypowiedzenia z winy pracodawcy w związku z brakiem zapłaty zaległego wynagrodzenia;prawo pracy;;;;;
czy spółdzielnia mieszkaniowa powinna wysyłać korespondencję również na adres mieszkania zajmowanego przez męża pani której przysługuje spółdzielcze własnościowe prawo do tego lokalu mieszkalnego jeżeli odpowiedź na pierwsze pytanie jest przecząca to skąd osoby pełnoletnie zamieszkujące w lokalu ale niebędące właścicielami mają wiedzieć w jakiej wysokości wnosić opłaty do spółdzielni;prawo cywilne;;;;;
czy wspólnota mieszkaniowa może być położona na dwóch odrębnych gruntach;prawo cywilne;;;;;
czy wentylacja jest częścią wspólną nieruchomości;prawo administracyjne;;;;;
co należy zrobić aby móc sprzedać garaż wchodzący w skład spadku;prawo cywilne;;;;;
czy brat będzie mógł wysuwać jakiekolwiek roszczenia w stosunku do nieruchomości którą córka otrzymała od rodziców w drodze darowizny;prawo cywilne;;;;;
jak wygląda instytucja zachowku;prawo cywilne;;;;;
czy farmaceuta może pracować na oddziale w szpitalu;prawo medyczne;;;;;
czy pracodawca może ukarać pracownika dwukrotnie za to samo przewinienie;prawo pracy;;;;;
w jaki sposób należy sporządzić testament;prawo cywilne;;;;;
w jakich sytuacjach lekarz ma prawo odmowy przyjęcia pacjenta czy lekarz ma prawo odmówić wystawienia zwolnienia lekarskiego;prawo medyczne;;;;;
czy można być kierownikiem działu farmacji i kierownikiem apteki w dwóch różnych miejscach;prawo farmaceutyczne;;;;;
czy dopuszczalne jest aby pacjent zrealizował drugą część recepty na  dni kilka dni po tym jak zrealizował już pierwszą jej część na  dni;prawo farmaceutyczne;;;;;
czy osoba może wykazać że jest osobą bezrobotną pomimo że prowadzi własną działalność gospodarczą;prawo pracy;;;;;
co klientka winna zrobić w przedstawionych okolicznościach;prawo medyczne;;;;;
czy osoba która prowadziła własną działalność gospodarczą nieprzerwanie przez okres  miesięcy może być traktowana jako osoba bezrobotna czy zakończenie prowadzenia działalności gospodarczej przez osobę o której mowa powyżej umożliwi jej uzyskanie statusu bezrobotnej czy okoliczność przyjmowania leków przeciwdepresyjnych ma znaczenie w kontekście uzyskania statusu osoby bezrobotnej;prawo pracy;;;;;
co może zrobić klient aby móc uiszczać alimenty w kwocie przewidzianej nowym wyrokiem;prawo cywilne;;;;;
jak przedstawia się kwestia obowiązku zachowania tajemnicy lekarskiej przez lekarza wezwanego na przesłuchanie w charakterze świadka w postępowaniu cywilnym;prawo medyczne;;;;;
czy klientka musi stawić się na rozprawie w charakterze świadka;prawo cywilne;;;;;
czy klientowi przysługuje zachowek;prawo cywilne;;;;;
w jaki sposób klient może ogłosić rozpoczęcie działalności gospodarczej nie naruszając obowiązującego lekarzy zakazu reklamy;prawo karne;;;;;
czy lekarz zatrudniony na podstawie umowy o pracę w szpitalu któremu pracodawca udzielił urlopu bezpłatnego posiada możliwość zawarcia umowy cywilnoprawnej o świadczenie usług z tym samym szpitalem celem świadczenia usług tożsamych z tymi które świadczył on na podstawie umowy o pracę;prawo pracy;;;;;
kto może podpisać w imieniu spółki z oo umowę z członkiem zarządu czy podpisanie umowy z członkiem zarządu powinno być poprzedzone podjęciem uchwały wspólników czy wynagrodzenie otrzymywane przez członka zarządu z tytułu stosunku powołania i z tytułu umowy o pracę może być rozliczane razem;prawo pracy;;;;;
co należałoby zrobić w przedstawionych okolicznościach;prawo medyczne;;;;;
czy okres stażu podyplomowego wlicza się do stażu pracy na podstawie którego oblicza się termin wypowiedzenia umowy o pracę jaki okres wypowiedzenia przysługuje klientowi;prawo pracy;;;;;
jakie działania można podjąć w celu wymuszenia na właścicielu lub najemcach lokalu przestrzegania zasad współżycia społecznego;prawo cywilne;;;;;
czy żona klienta może pracować w wymiarze  godzin dziennie ze zmniejszoną normą tygodniową;prawo pracy;;;;;
czy zawarcie umowy cywilnoprawnej z pracodawcą dotyczącej tego samego zakresu zadań co umowa o pracę przez osobę przebywającą na urlopie macierzyńskim jest zgodne z prawem;prawo pracy;;;;;
na jaki okres telefon będący dowodem rzeczowym w postępowaniu karnym może zostać zatrzymany;prawo karne;;;;;
czy istnieje możliwość skutecznego skrócenia okresu wypowiedzenia umowy o pracę jednostronnie przez klientkę z trzech do jednego miesiąca;prawo pracy;;;;;
czy klientce pracującej w równoważnym systemie czasu pracy przysługuje dodatek za pracę w weekendy;prawo pracy;;;;;
jak przebiega procedura przekształcenia lokalu mieszkalnego na lokal użytkowy;prawo administracyjne;;;;;
czy można przekazać dokumentację medyczną innemu podmiotowi w przypadku cesji kontraktu nfz;prawo medyczne;;;;;
gdzie klient mógłby zgłosić działania pracodawcy;prawo pracy;;;;;
czy klient może samodzielnie opisywać i zatwierdzać badania rentgenowskie oraz badania tomografii komputerowej bez nadzoru lekarza specjalisty;prawo medyczne;;;;;
czy możliwa jest sprzedaż punktu aptecznego prowadzonego w formie jednoosobowej działalności gospodarczej wraz przeniesieniem zezwolenia na prowadzenie punktu aptecznego;prawo farmaceutyczne;;;;;
czy klientce przysługuje ochrona przez zwolnieniem zgodnie ze stanem faktycznym;prawo pracy;;;;;
czy farmaceuta zatrudniony w aptece szpitalnej może badać procedury dotyczące podawania leków pacjentom na oddziale;prawo farmaceutyczne;;;;;
czy apteka może sprzedać leki o kategorii otc firmom prowadzącym działalność handlowousługowym;prawo farmaceutyczne;;;;;
czy rada nadzorcza może złożyć zawiadomienie o popełnieniu przestępstwa czy w powyższej kwestii potrzebna jest uchwała walnego zgromadzenia w jaki sposób spółdzielnia może odzyskać pieniądze które zostały przeznaczone na kary nałożone na prezesa i wiceprezesa;prawo karne;;;;;
czy córka kuzynki klientki miała obowiązek wskazać innych członków rodziny notariuszowi;prawo cywilne;;;;;
czy możliwy jest rozwód w drodze ugody jak w przedstawionych okolicznościach doprowadzić do rozwodu;prawo cywilne;;;;;
czy żona klienta może zrezygnować z prawa użytkowania wieczystego drogi dojazdowej do garażu;prawo cywilne;;;;;
co w świetle wyroku trybunału sprawiedliwości może uczynić klient;prawo miädzynarodowe;;;;;
ile ryczałtu można wziąć na leki recepturowe;prawo farmaceutyczne;;;;;
kto może złożyć zawiadomienie o możliwości popełnienia przestępstwa mając na uwadze iż przestępstwo te mogło zostać popełnione przez zarząd spółdzielni;prawo karne;;;;;
czy apteka może sprzedać leki o kategorii otc podmiotom prowadzącym działalność handlowousługowym;prawo farmaceutyczne;;;;;
czy jeżeli nabywcą leku jest stowarzyszenie apteka jest zobowiązana zamieścić na paragonie numer nip;prawo podatkowe;;;;;
czy klient może udostępnić historię kont bankowych wspólnoty mieszkaniowej;prawo administracyjne;;;;;
czy na zebraniu wspólnoty mieszkaniowej można omawiać kwestie zadłużenia poszczególnych członków wspólnoty mieszkaniowej posługując się imieniem oraz nazwiskiem osoby zadłużonej;prawo cywilne;;;;;
czy pielęgniarka może rozpuścić lek na oddziale np rozpuścić substancje we fiolce za pomocą wody do wstrzykiwań lub soli fizjologicznej i dodawać do worka do podania we wlewie dożylnym czy pielęgniarka może wykonywać powyższe czynności również wobec leków cytostatycznych;prawo farmaceutyczne;;;;;
czy apteka może wystawić fakturę za zrealizowane recepty na pacjenta oraz leki dostępne bez recepty gdzie nabywcą jest sam pacjent ale płatnikiem dom opieki społecznej albo fundacja;prawo podatkowe;;;;;
czy sąd może zwolnić klientkę z tajemnicy lekarskiej czy osoba ubezwłasnowolniona może nie wyrazić zgody na umieszczenie jej w domu pomocy społecznej lub zakładzie pielęgnacyjnoopiekuńczym;prawo medyczne;;;;;
czy dysponent zakładowego funduszu świadczeń socjalnych może dofinansować wszystkie imprezy pomimo sprzeciwu jednej z organizacji;prawo pracy;;;;;
czy farmaceuta z apteki szpitalnej może zostać oddelegowany na oddział szpitalny w celu przygotowywania leków w dawkach dziennych w tym cytostatycznych;prawo farmaceutyczne;;;;;
czy możliwa jest zmiana przez pracodawcę wyznaczonego harmonogramugrafiku pracy;prawo pracy;;;;;
w jaki sposób klientka powinna udokumentować sprzedaż zwolnioną z vat;prawo podatkowe;;;;;
jak kształtuje się odpowiedzialność lekarza zatrudnionego w podmiocie leczniczym na podstawie umowy cywilnoprawnej wobec pacjenta;prawo medyczne;;;;;
czy szczególnie chronionemu członkowi zarządu terenowej organizacji związkowej można obniżyć wynagrodzenie w związku z likwidacją miejsca pracy i przeniesieniem pracownika;prawo pracy;;;;;
czy pracodawca może zwolnić pracownika pobierającego świadczenie rehabilitacyjne w przypadku gdy znajduje się on w okresie ochrony przedemerytalnej;prawo pracy;;;;;
czy możliwe jest nabycie apteki bez zobowiązań czy możliwe jest nabycie leków od innej apteki;prawo farmaceutyczne;;;;;
co w przedmiotowej sprawie może zrobić klientka;prawo karne;;;;;
czy w przedstawionych okolicznościach pracodawca może zmusić klienta do rozwiązania stosunku pracy;prawo pracy;;;;;
czy rozwiązanie przedstawione przez pracodawcę jest zgodne z obecnie obowiązującym porządkiem prawnym;prawo pracy;;;;;
czy lekarz wykonujący indywidualną praktykę lekarską może zatrudnić lekarza rezydenta prowadzić szkolenie specjalizacyjne czy lekarz prowadzący indywidualną praktykę lekarską może zatrudnić pielęgniarkę;prawo medyczne;;;;;
czy klientka wezwana w charakterze świadka jako lekarz jest zwolniona z tajemnicy lekarskiej;prawo konstytucyjne;;;;;
czy możliwa jest sprzedaż apteki prowadzonej w formie jednoosobowej działalności gospodarczej wraz przeniesieniem zezwolenia na prowadzenie apteki;prawo farmaceutyczne;;;;;
czy jeżeli lekarz na recepcie wpisze mniejszą dawkę leku niż zawiera całe opakowanie to czy możliwe jest wydanie całego opakowania;prawo farmaceutyczne;;;;;
jeżeli do konsultacji pacjentki niepełnoletniej która ukończyła  lat potrzebna jest zgoda opiekuna prawnego co grozi lekarzowi ilub podmiotowi leczniczemu gdy udzieli konsultacji mimo jej braku czy pacjentka niepełnoletnia która ukończyła  lat ma prawo samodzielnie decydować czy wyraża zgodę by inna osoba była obecna podczas wizyty badania czy pacjentka niepełnoletnia która ukończyła  lat ma prawo skutecznie uniemożliwić obecność przedstawiciela ustawowego w czasie wizyty czy może odmówić udzielenia przez lekarza informacji o stanie zdrowia pacjentki jej przedstawicielom ustawowym czy przedstawiciel ustawowy pacjentki niepełnoletniej która ukończyła  lat może żądać uczestnictwa przy konsultacji ginekologicznej czy podmiot leczniczy kontaktując się z przedstawicielem ustawowym niepełnoletniej pacjentki która ukończyła  lat w celu poinformowania o zgłoszeniu się przez pacjentkę do lekarza narusza tajemnicę lekarską bądź wynikającą z przepisów o ochronie danych osobowych jakie konsekwencje może wówczas ponieść podmiot leczniczy;prawo administracyjne;;;;;
czy klient może odmówić przyjęcia pacjenta z uwagi na to że jest on roszczeniowy i nie można z nim dojść do porozumienia;prawo medyczne;;;;;
co może zrobić klient aby mógł posiadać dojazd do własnej działki;prawo cywilne;;;;;
czy lekarz prowadzący indywidualną praktykę lekarską może zatrudnić w niej innego lekarza;prawo medyczne;;;;;
czy obecnie obowiązujący porządek prawny przewiduje górną granicę należności z tytułu zwrotu kosztów podróży do sądu;prawo karne;;;;;
czy komornik zajął odpowiednią kwotę pieniędzy;prawo cywilne;;;;;
czy pracodawca może ograniczyć prawo do urlopu szkoleniowego;prawo pracy;;;;;
czy po podjęciu uchwały wspólnota mieszkaniowa będzie mogła skorygować zaliczki na poczet kosztów zarządu nieruchomością wspólną od stycznia  roku początek roku obrachunkowego;prawo cywilne;;;;;
czy klient powinien na żądanie pacjenta przypisać mu lek jeżeli zdaniem klienta lek tendawka tego leku zagraża życiu i zdrowiu pacjenta;prawo medyczne;;;;;
jakie środki prawne przysługują klientowi jeżeli w trakcie egzekucji komorniczej okaże się że dłużnik nie posiada majątku jakie środki prawne przysługują klientowi jeżeli w trakcie egzekucji komorniczej okaże się że dłużnik wyjechał poza granice kraju;prawo karne;;;;;
jaką podstawę prawną zezwalającą fizjoterapeucie na wykonywanie zabiegu suchego igłowania w szpitalu klient powinien wskazać pracodawcy;prawo medyczne;;;;;
czy możliwym jest jednostronne skrócenie czasu wypowiedzenia umowy o pracę zawartej na czas nieokreślony;prawo pracy;;;;;
czy w przedmiotowej sytuacji doszło do wypadku przy pracy;prawo pracy;;;;;
czy zarząd dużej wspólnoty mieszkaniowej może żądać udostępnienia informacji o osobach które pobierają dodatek mieszkaniowy z miejskiego ośrodka pomocy społecznej;prawo administracyjne;;;;;
czy klientka powinna posiadać kasę fiskalną i samodzielnie rozliczać pacjentów;prawo podatkowe;;;;;
czy dodatki do wynagrodzenia mogą wliczać się do minimalnego wynagrodzenia pracowników;prawo pracy;;;;;
jakie działania może podjąć klientka zgodnie ze stanem faktycznym;prawo pracy;;;;;
jakie są limity pracy w godzinach nadliczbowych w podstawowym systemie czasu pracy;prawo pracy;;;;;
co można zrobić w przedstawionych okolicznościach;prawo administracyjne;;;;;
w jaki sposób pracodawca może wyegzekwować zwrot pobranej zaliczki;prawo pracy;;;;;
co należy zrobić w przedstawionych okolicznościach;prawo medyczne;;;;;
co klientka może zrobić w sprawie zgodnie ze stanem faktycznym;prawo karne;;;;;
jakie korzyści uzyskuje i posiada pracodawca z tytułu zatrudnienia osoby o umiarkowanym stopniu niepełnosprawności czy stroną umowy o pracę jest spółka cywilna nova med nazwiska wspólników czy przychodnia lekarska nova med;prawo pracy;;;;;
czy klient może wytoczyć proces żądającej zachowku córce babci o uporczywe zaniedbanie obowiązków rodzinnych;prawo cywilne;;;;;
co można zrobić aby komentarz zniknął z profilu klienta;prawo karne;;;;;
czy w przypadku przekazania córce w formie darowizny udziału w nieruchomości udział ten wchodził będzie w skład masy spadkowej po rodzicu;prawo cywilne;;;;;
jakie kroki prawne może podjąć klientka;prawo karne;;;;;
czy możliwy jest całkowity zwrot kosztów z powodu odstąpienia od umowy;prawo administracyjne;;;;;
czy w razie skazania za czyn z art  kodeksu karnego klient może utracić prawo wykonywania zawodu lekarza;prawo karne;;;;;
czy powiększenie balkonów w dużej wspólnocie mieszkaniowej może zostać sfinansowane ze środków zgormadzonych na funduszu remontowym;prawo cywilne;;;;;
czy rezydent może dyżurować samodzielnie jak kształtuje się odpowiedzialność lekarza rezydenta za błąd medyczny w trakcie pełnienia dyżuru;prawo medyczne;;;;;
czy można udostępniać klientowi dokumentację w trakcie postępowania komisji kolejowej;prawo administracyjne;;;;;
czy klient jest obowiązany poinformować pracodawcę o zamiarze podjęcia dodatkowego zatrudnienia na podstawie umowy cywilnoprawnej zlecenia i uzyskać jego zgodę;prawo pracy;;;;;
czy można wstrzymać zajęcie rachunku bankowego;prawo cywilne;;;;;
czy klient może odmówić przyjęcia pacjenta z uwagi na to że nie może z jego rodzicami dojść do porozumienia;prawo medyczne;;;;;
czy umowa o pracę została skutecznie wypowiedziana czy zwolnienie lekarskie wpływa na skuteczność wypowiedzenia;prawo pracy;;;;;
jak w odniesieniu do wniosku zarządu wspólnoty mieszkaniowej powinien zachować się jej administrator;prawo cywilne;;;;;
czy w związku z przedstawionym stanem faktycznym postępowanie klientki było zgodne z prawem czy pacjent może podjąć kroki prawne przeciwko klientce jeżeli tak to jakie;prawo medyczne;;;;;
czy klient może odmówić przyjęcia pacjenta z uwagi na to że kwestionuje on metody leczenia klienta i nie można z nim dojść do porozumienia;prawo medyczne;;;;;
jakie kroki prawne może podjąć klientka;prawo karne;;;;;
czy działanie szpitala może być uznane za dyskryminację czy pracodawca musi zawiadomić pracownika o zamiarze zwolnienia;prawo pracy;;;;;
czy klient zobowiązany będzie do posiadania kasy fiskalnej;prawo podatkowe;;;;;
czym różni się wiedza o popełnieniu czynu zabronionego od wiarygodnej informacji w tym przedmiocie czy psycholog jest zobowiązany do ustalenia wieku osoby z którą współżyła nastolatka czy jeżeli osoba z którą współżyła nastolatka nie ukończyła  roku życia psycholog ma obowiązek powiadomić organy ścigania czy jeżeli nastolatka chce dokonać aborcji nielegalnie psycholog jest zobowiązany do powiadomienia organów ścigania;prawo karne;;;;;
w jaki sposób prawidłowo dokonać pożyczki na rzecz spółki;prawo cywilne;;;;;
czym jest instytucja interwenienta ubocznego czy klient powinien przystąpić do procesu jako interwenient uboczny;prawo cywilne;;;;;
czy klient zobowiązany jest do udostępnienia dokumentacji medycznej mężowi zmarłej pacjentki;prawo medyczne;;;;;
czy działanie pracodawcy jest zgodne z obecnie obowiązującym porządkiem prawnym;prawo pracy;;;;;
czy działanie pracodawcy może być uznane za dyskryminację;prawo pracy;;;;;
jakie działania można podjąć w celu wymuszenia na właścicielu lub najemcach lokalu przestrzegania zasad ciszy nocnej i współżycia społecznego;prawo karne;;;;;
czy żonie klienta przysługuje dodatek do wynagrodzenia za pracę w niedziele czy żonie klienta przysługuje dodatek do wynagrodzenia za pracę w systemie równoważnego czasu pracy;prawo pracy;;;;;
czy możliwe jest udzielenie telefonicznej porady lekarskiej przez lekarza psychiatrę w świetle zmian związanych z zagrożeniem koronawirusem;prawo medyczne;;;;;
czy klient może zobowiązać byłą żonę do partycypacji w kosztach utrzymania mieszkania;prawo cywilne;;;;;
czy w związku z rozwiązaniem stosunku pracy klientowi będzie przysługiwała odprawa emerytalna;prawo pracy;;;;;
czy tzw zejście lekarza po dyżurze wlicza się do czasu pracy lekarza rezydenta i należy się za ten czas wynagrodzenie czy powyższa kwestia została uregulowana w przepisach powszechnie obowiązujących;prawo medyczne;;;;;
